user_input,retrieved_contexts,response,reference,faithfulness
?כמה יחידות דיור מתוכננות בתכנית,"['מטרת התכנית 2.1\n הקמת בניין מגורים בן4  קומות וחדרי יציאה לגג, מעל קומת עמודים מפולשת חלקית )קומת קרקע( הכוללת \nדירת מגורים בעורף המבנה, כולל בניה בקו אפס לכוון מערב.']","Based on the provided context from plan number 507-0220277, the document does not explicitly state the total number of housing units (יחידות דיור) planned for this project. 

The context describes:
- A residential building with 4 floors
- Rooftop apartments (חדרי יציאה לגג)
- A partially open ground floor (קומת עמודים מפולשת חלקית) 
- One apartment at the rear of the building on the ground floor

However, without more specific information about the number of apartments per floor or in total, it's not possible to determine the exact number of housing units planned for this project from the given context alone.",7,1.0
מה שטח התכנית בדונם?,"['שטח התכנית 0.914 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי מלון ומגורים114-  בגין4801-/ -']","Based on the provided context from planning document 507-0456426, the answer to the question is:

שטח התכנית: 0.914 דונם

This information is clearly stated in the first line of the given context.",0.914,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['מטר ברוטו\n- גובה קומת גג עליון- עד  4.8. מטר ברוטו\n- גובה ארובה לפירי נידוף, ארובות אוורור לחניונים, פליטת גנרטור חירום, בגובה של 2 מטר מעל \nקומת הגג העליון.\nגובה קומות ייקבע סופית במסגרת תכנית העיצוב והפיתוח.\n3  :. יחידות דיור למגורים ויחידות למלונאות\nהמגורים יהיו בקומות העליונות.\nא. מספר יחידות דיור למגורים - 30  - יחידות דיור מתוכן כ25  דירות קטנות בין35 -45 מטר \nמרובע נטו. ב. מספר יחידות למלונאות- לא יפחת מ-160  יחידות דיור, במסגרת תכנית העיצוב, ניתן יהיה \nלהוסיף ולהפחית יחידות בהתאם לרמת המלון, לאישור משרד התיירות ולעמידה בתקניים ב מלון ומגורים114-  בגין4801-/ -', 'דברי הסבר לתכנית\nהתכנית חלה על מגרש ברחוב מנחם בגין מספר 114 . )פינת רחוב יוסף קארו(, בשכונת מונטיפיורי\nמטרת התכנית לאפשר הקמת מיזם משולב למלונאות מגורים ומסחר, שבמסגרתו יוקם מבנה בן 14 קומות \nעיליות במפלס רח\' בגין + קומת גג עליון, אשר יכלול כ- 30   יחידות דיור ולפחות160  חדרי מלון והקמת שטח \nציבורי בנוי לטובת הציבור.\nהתכנית תואמת את תכנית המתאר הכוללנית לעיר תל אביב,  תא/5000 , המייעדת את שטח התכנית וסביבתה \nל""אזור תעסוקה מטרופוליני סמוך להסעת המונים"", אזור תכנון 602 ,602 .א , שכונת מונטיפיורי\nהתכנית מוגשת לאישור הוועדה המקומית בהתאם לסמכותה לפי סעיף 62 -א)ג( לחוק התכנון והבניה, התשכ""ה\n1965.\nדף ההסבר מהווה רקע לתכנית ואינו חלק ממסמכיה הסטטוטוריים.\n  מלון ומגורים114-  בגין4801-/ -']","Based on the provided context from planning document 507-0456426, the plan includes:

30 יחידות דיור למגורים (residential housing units), of which:
- כ-25 דירות קטנות בין 35-45 מטר מרובע נטו (approximately 25 small apartments between 35-45 square meters net)

Additionally, the plan includes:
- לפחות 160 יחידות למלונאות (at least 160 hotel units)

So in total, the plan specifies 30 residential housing units, with the majority being small apartments.",30,0.8571428571428571
מה שטח התכנית בדונם?,"['שטח התכנית 8.833 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי - המחוגה4484/ -']","Based on the provided context from planning document 507-0774752, the answer to the question is:

שטח התכנית: 8.833 דונם

This information is explicitly stated in the first line of the given context.",8.833,0.75
?כמה יחידות דיור מתוכננות בתכנית,"['דברי הסבר לתכנית\nהתכנית מצויה במערב פלורנטין- אזור מלאכות ותעשייה זעירה המתחדש ומשנה את ייעודו למגורים ותעסוקה.\nמרבית מרחב התכנון מבונה בבניינים בני קומה המשמשים תעשייה, מלאכה ומוסכים. בפינת הרבי מבכרך מצוי\nבניין בן 5- קומות המושכר כ20. שנה למשרד הבריאות ומשמש את המרכז הקהילתי לבריאות הנפש יפו והדרום\nבסמיכות לפרויקט מצויים בית ספר דרויאנוב )מדרום(, מבני מגורים ותעסוקה בבנייה מרקמית, וגינת אליפלט\nמצדו השני של רחוב אליפלט.\nהתכנית מציעה תוספת שטחי בניה לתעסוקה, שטחי ציבור ומגורים בהתאם להוראות תכנית המתאר )תא/\n5000 ( ומדיניות השלבים, תוך הקצאת שטחי ציבור בדופן רחוב קומפרט, המייצרים רצף מרחבי בין בית ספר\nדרויאנוב לגינה הקהילתית מצפון']","Based on the provided context from planning document 507-0774752, there is no specific mention of the number of housing units (יחידות דיור) planned in this project. The text describes a plan to add areas for employment, public spaces, and housing in accordance with the city's master plan (תכנית המתאר תא/5000) and policy stages, but does not provide a specific number of residential units. The focus seems to be on transforming an area of small industries and workshops into a mixed-use area with residences and employment, but without quantifying the exact number of housing units.","לא מצוין במפורש, ניתן לחשב 187",0.8571428571428571
מה שטח התכנית בדונם?,"['שטח התכנית 10.735 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'תוך15 . שנים מיום אישור התכנית\n 53  מרחב סונול-חכמי והרצל4679/ -']","על פי המידע המופיע בהקשר הנתון, שטח התכנית הוא 10.735 דונם.",10.735,1.0
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,התכנית לא כוללת יחידות דיור,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 17.396 דונם\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n17.396 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n37,907+23337,674מ""רתעסוקה )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the context provided, the area of the plan (שטח התכנית) is 17.396 dunams (דונם).

This information is stated consistently in two places in the given text:

1. At the beginning: ""שטח התכנית 17.396 דונם""
2. In the quantitative data table: ""17.396 שטח התכנית בדונם""",17.396,1.0
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,התכנית לא כוללת יחידות דיור,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 26.048 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', ""כתובות שבהן חלה התכנית 1.5.4\nשכונה רמת אביב א'""]","Based on the provided context from planning document 507-0498568, the answer to the question is:

שטח התכנית: 26.048 דונם

This information is explicitly stated in the first line of the given context.",26.048,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,התכנית לא כוללת יחידות דיור,0.0
מה שטח התכנית בדונם?,"['נתונים כמותיים עיקריים בתכנית 2.3\n6.67 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n7,000 7,000מ""רמגורים )מ""ר(\nבמצב מאושר יעוד הקרקע הינו \nמע""ר24,500 24,500מ""רתעסוקה )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'שטח התכנית 6.670 דונם\n1.3מהדורותשלב מילוי תנאים למתן תוקף\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","According to the context provided, the area of the plan (שטח התכנית) is 6.67 dunams (דונם).

This information is stated twice in the document:
1. In the table under section 2.3: ""שטח התכנית בדונם 6.67""
2. In a separate line below the table: ""שטח התכנית 6.670 דונם""

The slight difference (6.67 vs 6.670) is likely due to rounding, but both essentially indicate the same area of approximately 6.67 dunams.",6.670,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['נתונים כמותיים עיקריים בתכנית 2.3\n6.67 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n7,000 7,000מ""רמגורים )מ""ר(\nבמצב מאושר יעוד הקרקע הינו \nמע""ר24,500 24,500מ""רתעסוקה )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות']","Based on the provided context from planning document 507-0207324, there is no explicit information given about the number of housing units (יחידות דיור) planned in this project. 

The document provides data on the total area allocated for residential use (מגורים), which is 7,000 square meters. However, it does not specify how many individual housing units this translates to.

To determine the number of housing units, we would need additional information such as the average size of each unit or a specific breakdown of unit types and quantities, which is not provided in this excerpt.",התכנית לא כוללת תוספת יח״ד חדשות,0.8333333333333334
מה שטח התכנית בדונם?,"['שטח התכנית 126.551 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'כתובות שבהן חלה התכנית 1.5.4\nשכונה שכונת הארגזים']","Based on the provided context from planning document 507-0552752, the answer to the question is:

שטח התכנית: 126.551 דונם

This information is explicitly stated in the first line of the given context.",126.551,0.75
?כמה יחידות דיור מתוכננות בתכנית,"[')1 .( עבור כלל השימושים במגרש\n)2  ( יחידות דיור להשכרה, מחציתן יוגדרו דירות בהישג יד על פי סעיף4.2.2 ... לא תותר הפחתה או הגדלה של מספר יח""ד אלה\n)3.( יחידות דיור מוגן\n)4 ( שטחים אלו ישמשו את תחנת הקצה וכל הנדרש להפעלתה, לרבות רמפות, מיסעות, רציפים, מתקנים וכיוצא בזה. ככל הנדרש, ניתן יהיה להמיר שטחים עיקריים אלו לשטחי שירות, עבור תחנת הקצה \nבלבד.\n)5 ( בהתאם לתכנית507-0271700. תא/מק/צ על שינוייה\n)6  ( שטחי בניה מצטברים עבור כלל תאי שטח823 ,603 ,604 ? , ו605  , בכפוף לפרסום לפי סעיף149   לחוק בעת קידום בקשה להיתר שעניינה הרחבת תחנת קצה, כאמור בסעיף6.7) .22( שטחים אלו ישמשו \nאת תחנת הקצה שתוקם בתא שטח 201  וכל הנדרש להפעלתה, לרבות רמפות, מיסעות, רציפים, מתקנים וכיוצא בזה', 'תמהיל יחידות הדיור הסופי למגרשי המגורים לסוגיהם )כולל דיור להשכרה ודיור מוגן( \nיכלול מגוון יחידות דיור הכולל דירות קטנות בינוניות וגדולות וייקבע לעת תכנית העיצוב \nהאדריכלי, בתיאום ואישור היחידה לתכנון אסטרטגי בעיריית תל אביב-יפו.\n   ג. במגרשים 108- ו109 - לדיור מיוחד )השכרה( ו201  לדיור מוגן תיאום תמהיל הדירות, היקף \nוסוג השטחים המשותפים לכלל הדיירים, ייקבע לעת תכנית העיצוב האדריכלי, בתיאום ואישור \nהיחידה לתכנון אסטרטגי בעיריית תל אביב-יפו.\n   ד. בכל תכנית עיצוב אדריכלי מכח תכנית זו, למעט ביחס למגרשים 108- ו201 יוצג תמהיל \nיחידות דיור העומד בהוראות הבאות:\n      1. לפחות20%   מיחידות הדיור תהיינה דירות קטנות עד65 מ""ר\n      2. לפחות20%   מיחידות הדיור תהיינה דירות גדולות מעל100 מ""ר\n      3 -. שטח דירה מזערי )כולל ממ""ד( לא יפחת מ35  מ""ר. במקרה של הקמת מרחבים מוגנים \nקומתיים, שטח דירה מזערי בקטגוריה זו לא יפחת מ-35. מ""ר\n16 .', 'עיקרי הוראות התכנית 2.2\n1. קביעת יעודי הקרקע למגורים, מגורים מסחר ותעסוקה, דיור מיוחד, מבנים ומוסדות ציבור, שטח ציבורי  \nפתוח, שבילים, דרך משולבת, דרך מוצעת ודרך מאושרת.\n2. קביעת שימושים למגורים, דיור להשכרה, דיור מוגן, מסחר, תעסוקה, מבנים ומוסדות ציבור, שימושים בעלי \nאופי ציבורי, תשתיות תחבורה.\n3. קביעת זכויות הבניה להקמת 1,696   יחידות דיור, ובנוסף 174  יחידות דיור מיוחד להשכרה )מחציתן דיור  \nבהישג יד( ו-300. יחידות דיור מוגן, שטחי מסחר ותעסוקה ושטחים ציבוריים\n4. קביעת קווי בניין\n5. קביעת הוראות בינוי\n6. קביעת הוראות פיתוח\n7. קביעת גובה מבנים ומספר קומות\n8. קביעת הוראות להכנת תכנית פיתוח\n9. קביעת הוראות להכנת תכניות עיצוב אדריכלי\n10. קביעת הוראות ותנאים להגשת בקשות להיתרי בניה\n11. קביעת הוראות ותנאים למתן היתרים לאיכלוס\n12. קביעת הנחיות להריסות פינויים ושלביות\n13']","Based on the context provided from the urban planning document (plan number: 507-0552752), the total number of housing units planned in this project is as follows:

1. 1,696 regular housing units
2. 174 special rental housing units (half of which are designated as affordable housing)
3. 300 protected housing units (דיור מוגן)

In total, the plan includes 2,170 housing units of various types.

This breakdown is explicitly stated in section 2.2 (עיקרי הוראות התכנית) point 3, which outlines the main provisions of the plan.","לא מצוין במפורש, ניתן להסיק 2170 יח״ד בסה״כ, כולל דיור מיוחד",0.5714285714285714
מה שטח התכנית בדונם?,"['שטח התכנית 1.758 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי8  - ניוד זכויות מנחלת בנימין7  - בית אלפא5035/ -']","Based on the provided context from planning document 507-0908509, the area of the plan (שטח התכנית) is 1.758 dunams (דונם).",1.758,0.5
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,התכנית לא כוללת יחידות דיור,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 9.083 דונם\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n9.083 שטח התכנית בדונם', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the provided context from planning document 507-0320242, the answer to the question is:

שטח התכנית: 9.083 דונם

This information is consistently stated twice in the given context, both in the opening line and in section 2.3 of the document.",9.083,0.8
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,התכנית לא כוללת יחידות דיור,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 54.981 דונם\n1.4', 'דברי הסבר לתכנית\nהתכנית שבנדון ממוקמת בסמוך לגבול תל אביב-גבעתיים. תחומה בדרך השלום מדרום, רחוב עליית הנוער \nממזרח ובמבני תעסוקה קיימים מצפון וממערב )שכונת נחלת יצחק(. שטח התכנית כ- 55. דונם\nעל שטח זה חלה תכנית תא/2771  משנת2010.\n.התכנית קובעת הוראות לאיחוד וחלוקה בשני במתחמים, מתחם למגורים ומתחם למגורים, מסחר ותעסוקה\nהתכנית מציעה שיפור של מאפייני המגורים ביחס לתכנית התקפה, תוך שימת דגש על מרחב ציבורי איכותי \nשטחים פתוחים ועירוב שימושים. במסגרת התוכנית מוצעות 1097  יח""ד, הגדלת השטחים לתעסוקה, תוספת \nשימושים למסחר לאורך הרחובות ובמרחבים ציבוריים, קביעת שטח לשצ""פ, וכן הוספת שימושים למתקנים \nהנדסיים בתחום התכנית כמתן מענה להליכי טיפול במזהמים ככל שידרשו', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","על פי המידע המופיע בהקשר הנתון, שטח התכנית הוא 54.981 דונם.

זה מוזכר בשני מקומות:
1. בתחילת הטקסט: ""שטח התכנית 54.981 דונם""
2. בדברי ההסבר לתכנית: ""שטח התכנית כ- 55. דונם"" (כאשר זה מעוגל למספר שלם)

לכן, התשובה המדויקת היא 54.981 דונם.",54.981,0.8333333333333334
?כמה יחידות דיור מתוכננות בתכנית,"['לפחות20% )  מסך הדירות תהינה יח""ד קטנות50-70 .( מ""ר שטח כולל לרבות ממ""ד ככל שיבנה\nג. שטח עיקרי ממוצע ליחידות הדיור בכל שטח התכנית לא יעלה על 85 מ""ר. תמהיל יחידות \nהדיור יקבע בתכנית העיצוב האדריכלי בהתאם להוראות הנ""ל.\nד. לא תותר הצמדת גינות לדירות מגורים בקומת הקרקע.\nה. 143  יח""ד מיחידות הדיור שבבעלות המדינה תהינה להשכרה לטווח ארוך, אלה ירוכזו באחד \nמתאי השטח למגורים.א\nמסחר  \n1. לאורך רחובות עליית הנוער ודרך השלום תוקם חזית מסחרית. כל סטייה מהוראה זו תהווה \nסטייה ניכרת לתכנית. בנוסף, יותרו חזיתות מסחריות בכל קומות הקרקע הפונות לדרכים \nולשטחים ציבוריים או זיקות ההנאה.\n2   .. בנוסף לשימושים למסחר יותרו בקומת הקרקע מבואות ושימושים לרווחת הדיירים\n3. מערכות פינוי האשפה והמערכות הסניטריות של שטחי המסחר יהיו עצמאיות ונפרדות \nממערכות שטחי המגורים.\n4', 'מגורים מסחר ותעסוקה 4.2\n ב. לפחות20% )  מסך הדירות תהיינה יח""ד קטנות50-70  מ""ר שטח כולל לרבות ממ""ד ככל \nשיבנה(.\nג. שטח עיקרי ממוצע ליחידות הדיור בכל שטח התכנית לא יעלה על 85 מ""ר. תמהיל יחידות \nהדיור יקבע בתכנית העיצוב האדריכלי בהתאם להוראות הנ""ל.\nד. לא תותר הצמדת גינות לדירות מגורים בקומת הקרקע.\n4 :. תותר הקמת קולונדות בתיאום עם מחלקת השימור בעיריית תל אביב ובתנאים הבאים\nא. תרשם זיקת הנאה בתחום הקולונדות. ב. במידה ויוקמו קולונדות, הן תהינה מחייבות לכלל המגרשים הפונים אל רחוב חפץ חיים \nופרטיהן יהיו אחידים ורציפים ע""פ הוראות תכנית העיצוב האדריכלי. ג. ריצוף שטחי הקולונדה יעוצב כהמשך של המדרכה הגובלת בהן, הן בגבהים והן בסוג הריצוף.\nשימור  \n1  \'. הוראות למבנה הדרומי לשימור - מס01: בתשריט התכנית\nא. המבנה ישומר בתיאום עם מחלקת השימור בעיריית תל אביב.\nב', 'תמהיל יחידות דיור\nא. סך כל יחידות הדיור המוצעות בייעוד מגורים, מסחר ותעסוקה הינו 127.א4491/ -']","Based on the provided context from planning document 507-0444778, the total number of housing units planned is 1274. This can be seen in the last line of the context, which states:

""סך כל יחידות הדיור המוצעות בייעוד מגורים, מסחר ותעסוקה הינו 1274.""

This translates to: ""The total number of housing units proposed for residential, commercial and employment uses is 1274.""",1097,1.0
מה שטח התכנית בדונם?,"['שטח התכנית 4.322 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי - אפלטון-אייזיק חריף5174/ -']","Based on the context provided from planning document 507-1140185, the answer to the question is:

שטח התכנית: 4.322 דונם

This information is explicitly stated in the first line of the given context.",4.322,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['יחידות דיור חדשות\nהתכנית מחלקת את מרחב התכנון לשני תאי שטח למגורים תוך שמירה על שבילי הליכה קיימים כמרחב פתוח\nלמעבר ושהיית הולכי רגל.\nבמסגרת התכנית מוקצה שטח בנוי למוסדות ציבור בהיקף של כ-500  מ""ר המשולב בקומות המסד של הבניה\nהמגדלית.\nבקומת הקרקע משולבים באופן נקודתי שימושי מגורים  ושטחי ציבור מבונים תוך הסדרת תחום הדרך, שיפור\nמפלס הרחוב, הרחבתו ותוספת נטיעות.\nהתכנית מבצעת אחוד וחלוקה ומתייחסת למרחב התכנון כאל מתחם שלם להתחדשות עירונית, הנדרש להכנת\nתכנית עיצוב אחת.\nדף ההסבר מהווה רקע לתכנית ואינו חלק ממסמכיה הסטטוטוריים.\n  - אפלטון-אייזיק חריף5174/ -', 'עיקרי הוראות התכנית 2.2\n1  . איחוד וחלוקת המגרשים ללא הסכמת כל הבעלים לפי פרק ג\' סימן ז\' לחוק התכנון והבניה התשכ""ח1965.\n2  . שינוי הוראות מיעוד ""אזור מגורים4 ."" קומות"" ליעוד ""מגורים ד\n3  -. קביעת שטחי בניה על קרקעיים למגורים בהיקף כולל של כ20,500.  מ""ר\n4 -. קביעת שטחים ציבוריים בנויים לשימושים ציבוריים בהיקף של כ500 . מ""ר וקביעת הוראות לגביהם\n5  . קביעת הוראות בינוי הכוללות הגדרת קווי בנין וגבהים מקסימליים לבניית240  יחידות דיור בשלושה מבנים\nבגבהים בין 10- ל18. קומות\n6 .. קביעת הוראות לבניה בתת הקרקע\n7 .. קביעת הוראות לזיקות הנאה לטובת הציבור למעבר ושהייה במפלס הקרקע והוראות לקומת הקרקע\n8 .. קביעת הוראות ותנאים להוצאת היתר בניה, לרבות הוראות להכנת תכנית עיצוב ופיתוח אדריכלי\n9 .. קביעת מבנים להריסה\n10 .. קביעת הוראות לאיכות הסביבה, תשתיות , בנייה בת קיימא וניהול מי נגר\n  - אפלטון-אייזיק חריף5174/ -', ""דברי הסבר לתכנית\nהתחדשות מרחב התכנון בין רחוב אפלטון ואייזיק חריף בשכונת יפו ג'.\nהתכנית קובעת זכויות בהתאם לסעיף 70  ב לחוק התכנון והבניה )תיקון139.( לחוק\nזאת באמצעות הריסת שלושת המבנים הקיימים, הכוללים 96  יחידות דיור קיימות ובניית שני בניינים חדשים\nבגובה של עד 10   קומות ומגדל מגורים בגובה של עד18   קומות, הכוללים240""]","Based on the provided context, the plan includes:

240 יחידות דיור (housing units) planned in total.

This is mentioned in two places:

1. In section 5 of the main plan provisions (עיקרי הוראות התכנית), which states:
""קביעת הוראות בינוי הכוללות הגדרת קווי בנין וגבהים מקסימליים לבניית 240 יחידות דיור""

2. In the explanatory notes (דברי הסבר לתכנית) at the end, which mentions:
""בניית שני בניינים חדשים בגובה של עד 10 קומות ומגדל מגורים בגובה של עד 18 קומות, הכוללים 240""

So the plan clearly specifies 240 new housing units to be built.",240,1.0
מה שטח התכנית בדונם?,"['שטח התכנית 0.339 דונם\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n0.339 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\nאין שינוי בזכויות הבניה או \nבייעוד הקרקע.407.7 407.7מ""רמגורים )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the context provided in the planning document (plan number: 507-0352351), the area of the plan (שטח התכנית) is 0.339 dunams (דונם).

This information is consistently stated twice in the document:
1. At the beginning: ""שטח התכנית 0.339 דונם""
2. In the quantitative data table: ""0.339 שטח התכנית בדונם""",0.339,0.8571428571428571
?כמה יחידות דיור מתוכננות בתכנית,"['נתונים כמותיים עיקריים בתכנית 2.3\n0.339 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\nאין שינוי בזכויות הבניה או \nבייעוד הקרקע.407.7 407.7מ""רמגורים )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'דברי הסבר לתכנית\nהתכנית חלה על המגרשים בפינת רחוב בית שמאי וגרשון ש""ץ שבשכונת מונטיפיורי, בחלקות 441 - ו443 בגוש \n7109   . שטח התכנית המוצעת339.76 . מ""ר\nהתכנית הראשית התקפה תא/1602 , מייעדת את החלקות לאזור מעורב מיוחד בשימושים של מגורים או \nמשרדים.  \nמטרת התכנית היא לאפשר בניה במגרש אחד ע""י איחוד שתי חלקות קטנות ושינוי בקווי בניין, ללא שינוי \nבהוראות התכנית הראשית.\nהערה: התכנית אינה משנה את יעוד הקרקע לפי תכנית ראשית. היעוד החדש נובע מהתאמה לנוהל מבא""ת.\nדף ההסבר מהווה רקע לתכנית ואינו חלק ממסמכיה הסטטוטוריים.\n א6  פינת גרשון ש""ץ ובית שמאי6  בית שמאי4542/ -']","Based on the provided context from planning document 507-0352351, there is no specific information given about the number of housing units (יחידות דיור) planned in this project. The document focuses on:

1. The total area of the plan (0.339 dunams)
2. Maintaining the existing building rights and land use designation
3. Merging two small plots into one
4. Changing building lines

The plan does not appear to modify the number of housing units, as it states there is no change to the building rights or land use from the previously approved state. The main purpose seems to be allowing construction on a single plot by unifying two smaller plots and adjusting building lines, without changing the provisions of the main plan.","לא מצוין, לפי תכנית אחרת",0.8888888888888888
מה שטח התכנית בדונם?,"['שטח התכנית 35.407 דונם\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n35.407 שטח התכנית בדונם', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the provided context from planning document 507-0301341, the answer to the question is:

שטח התכנית: 35.407 דונם

This information is consistently mentioned twice in the given context, both in section 1.4 and in section 2.3 of the document.",35.407,1.0
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,"לא מצוין, לפי תכנית אחרת",0.0
מה שטח התכנית בדונם?,"['שטח התכנית 6.724 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'ביצוע7.1\nהתנייה תאור שלבמספר שלב \nהתכנית תמומש ותוקם בשלמותה ובשלב אחד,\nמלבד המגרש המיועד למבני ציבור.1\nמימוש התכנית 7.2\nשוטף\n  - ככר שקד4667/ -']","Based on the context provided from the planning document (plan number: 507-1031616), the answer to the question is:

שטח התכנית: 6.724 דונם

This information is explicitly stated in the first line of the given context.",6.724,0.6666666666666666
